text,label,category
Worst insurance ever No help received,0,Complaint
Handife ndakadzokera No help received,0,Other
Team assistance supportive quick,1,Other
Handife ndakadzokera no received aid,0,Other
Handife care unacceptable customer ndakadzokera,0,Complaint
Ndatenda zvikuru ndakafarira basa renyu,1,Other
Service was kind excellent team,1,Customer Service
Staff was rude handife ndakadzokera,0,Other
Handina disappointing very kufara,0,Other
Care customer unacceptable handina kufara,0,Complaint
Service was excellent ndakafarira basa renyu,1,Customer Service
Handina kufara sluggish too feedback,0,Complaint
Fast claims processing efficient service,1,Claim
Worst insurance ever poor customer care,0,Complaint
Fast claims processing ndakafarira basa renyu,1,Claim
Worst ndakadzokera handife insurance ever,0,Complaint
Care takes forever terrible customer process,0,Complaint
Ndatenda zvikuru Fast claims processing,1,Claim
Loved the new app Makandibatsira zvakanaka,1,Other
Supportive crew ndatenda zvikuru,1,Other
Worst insurance ever Delay in claims,0,Claim
Helpful staff,1,Other
Service was excellent Loved the new app,1,Customer Service
Kubatsira sluggish reaction vanononoka too,0,Complaint
Handina kufara kubatsira vanononoka,0,Other
Handife late too ndakadzokera feedback,0,Complaint
Thank you cimas thank you cimas,1,Praise
Zvikuru ndatenda quick assistance,1,Other
Received service delivery no assistance poor,0,Customer Service
Thank you CIMAS Service was excellent,1,Customer Service
No assistance received too delayed reaction,0,Complaint
Good customer care Fast claims processing,1,Claim
Ndatenda zvikuru new the appreciated tool,1,Other
Process takes forever handina kufara,0,Other
Handife handife ndakadzokera ndakadzokera,0,Other
Handife ndakadzokera staff was rude,0,Other
Very disappointing Handina kufara,0,Other
Process takes too forever delayed feedback,0,Complaint
Worst insurance ever handife ndakadzokera,0,Complaint
Good processing care fast claims customer,1,Claim
Very disappointing Delay in claims,0,Claim
Makandibatsira zvakanaka liked the new platform,1,Other
Staff was rude too late feedback,0,Complaint
Very disappointing no support received,0,Other
Kind good team customer care,1,Praise
Worst insurance ever Too slow response,0,Complaint
Worst insurance ever staff was rude,0,Complaint
Was staff rude delay in claims,0,Claim
Ndakadzokera kufara handife handina,0,Other
Excellent you cimas service was thank,1,Customer Service
Handina kufara Handife ndakadzokera,0,Other
Bad customer care Process takes forever,0,Complaint
Handife forever process takes ndakadzokera,0,Other
Quick assistance Efficient service,1,Customer Service
Process takes forever Worst insurance ever,0,Complaint
Delay in claims Very disappointing,0,Claim
Efficient service ndatenda zvikuru,1,Customer Service
Poor service delivery Process takes forever,0,Customer Service
Poor service delivery process takes forever,0,Customer Service
Good customer care Helpful staff,1,Praise
Fast claims zvikuru ndatenda processing,1,Claim
Cimas you thank ndakafarira basa renyu,1,Praise
Helpful staff Service was excellent,1,Customer Service
Handife ndakadzokera Vanononoka kubatsira,0,Other
Kufara support received handina no,0,Other
Vanononoka kubatsira process forever takes,0,Other
Thank you CIMAS Ndatenda zvikuru,1,Praise
Poor service delivery Handina kufara,0,Customer Service
Loved the new app,1,Other
Makandibatsira zvakanaka Fast claims processing,1,Claim
Process takes forever Too slow response,0,Complaint
Thank you CIMAS Great experience,1,Praise
Fast claims tool liked the new processing,1,Claim
Worst insurance ever Very disappointing,0,Complaint
Worst insurance care unacceptable customer ever,0,Complaint
Quick assistance Fast claims processing,1,Claim
Vanononoka kubatsira no support received,0,Other
Liked the new application thank you cimas,1,Praise
Makandibatsira zvakanaka basa ndakafarira renyu,1,Other
Very disappointing handina kufara,0,Other
Delay in claims Bad customer care,0,Claim
Ndakafarira basa renyu makandibatsira zvakanaka,1,Other
Poor service delivery Too slow response,0,Customer Service
Handina takes forever process kufara,0,Other
Service efficient fast claims processing,1,Claim
Customer experience good great care,1,Praise
Poor service delivery too delayed reply,0,Customer Service
Great experience Loved the new app,1,Praise
Good customer care Good customer care,1,Praise
Quick assistance Good customer care,1,Praise
Care you cimas good customer thank,1,Praise
Fast claims claims fast processing processing,1,Claim
Worst ever insurance poor service delivery,0,Customer Service
Efficient service service was excellent,1,Customer Service
Makandibatsira efficient zvakanaka service,1,Customer Service
Appreciated the new application efficient service,1,Customer Service
Great experience Ndatenda zvikuru,1,Praise
Unacceptable customer care kubatsira vanononoka,0,Complaint
Ndatenda care good customer zvikuru,1,Praise
Loved the new app Helpful staff,1,Other
Care customer good great experience,1,Praise
Efficient service thank you cimas,1,Customer Service
Handife ndakadzokera Bad customer care,0,Complaint
Great experience Makandibatsira zvakanaka,1,Praise
Ndatenda zvikuru Service was excellent,1,Customer Service
No received support vanononoka kubatsira,0,Other
Worst insurance ever too late reply,0,Complaint
No assistance received handife ndakadzokera,0,Other
Efficient service fast claims processing,1,Claim
Delay in disappointing very claims,0,Claim
Poor service delivery Poor service delivery,0,Customer Service
Kind crew fast claims processing,1,Claim
Poor customer care vanononoka kubatsira,0,Complaint
Poor service vanononoka delivery kubatsira,0,Customer Service
Too sluggish reaction poor service delivery,0,Customer Service
Quick assistance Quick assistance,1,Other
Helpful staff Fast claims processing,1,Claim
Enjoyed the new tool kind personnel,1,Other
Staff was rude poor service delivery,0,Customer Service
Too late reaction process takes forever,0,Complaint
Very disappointing Vanononoka kubatsira,0,Other
Fast claims processing Efficient service,1,Claim
Processing claims fast thank you cimas,1,Claim
Vanononoka kubatsira process takes forever,0,Other
Ndakadzokera handife staff was rude,0,Other
Process takes forever takes process forever,0,Other
Crew was excellent supportive service,1,Customer Service
Kubatsira kufara vanononoka handina,0,Other
Delay in claims Vanononoka kubatsira,0,Claim
Zvakanaka crew makandibatsira supportive,1,Other
Good customer care great experience,1,Praise
No support received too late reply,0,Complaint
Cimas you thank great experience,1,Praise
Ndatenda zvikuru Loved the new app,1,Other
Supportive personnel ndatenda zvikuru,1,Other
Ndakafarira service efficient basa renyu,1,Customer Service
Claims basa renyu fast ndakafarira processing,1,Claim
Handina kufara Handina kufara,0,Other
Efficient service ndakafarira basa renyu,1,Customer Service
Efficient service thank cimas you,1,Customer Service
Good zvakanaka makandibatsira customer care,1,Praise
Very delay disappointing in claims,0,Claim
Handina kufara Staff was rude,0,Other
Thank you CIMAS,1,Praise
Too sluggish feedback terrible customer care,0,Complaint
Takes assistance received process no forever,0,Other
Quick assistance Ndatenda zvikuru,1,Other
Too slow response Handife ndakadzokera,0,Complaint
Fast claims processing Service was excellent,1,Claim
Ndatenda zvikuru kind team,1,Other
Kubatsira vanononoka too sluggish feedback,0,Complaint
Makandibatsira zvakanaka enjoyed the new application,1,Other
Ndakafarira basa renyu Ndatenda zvikuru,1,Other
Staff was rude Delay in claims,0,Claim
Terrible assistance received no customer care,0,Complaint
Ndatenda great zvikuru experience,1,Praise
Efficient service Efficient service,1,Customer Service
Bad customer care Worst insurance ever,0,Complaint
No assistance received process takes forever,0,Other
Efficient service supportive personnel,1,Customer Service
Poor service delivery Worst insurance ever,0,Customer Service
Aid no received no assistance received,0,Other
Thank you CIMAS Good customer care,1,Praise
Ndatenda zvikuru makandibatsira zvakanaka,1,Other
Handina kufara Process takes forever,0,Other
Ndakafarira basa renyu zvakanaka makandibatsira,1,Other
Efficient service Fast claims processing,1,Claim
Process takes forever Staff was rude,0,Other
Handina kufara Delay in claims,0,Claim
Too sluggish kufara handina reaction,0,Complaint
Very disappointing worst insurance ever,0,Complaint
Efficient service Good customer care,1,Customer Service
I received excellent assistance with my claim.,1,Service
Very happy with how fast the support team responded.,1,Service
Staff was professional and friendly throughout.,1,Service
The process was seamless and well-communicated.,1,Service
Impressed by the timely updates and courteous service.,1,Service
My query was ignored for days.,0,Service
The agent was unhelpful and dismissive.,0,Service
Frustrated with the lack of response from customer care.,0,Service
"Experience was poor, I felt neglected.",0,Service
Took too long to get any feedback or help.,0,Service
"The app was easy to navigate, but my issue wasn’t resolved.",2,Service
"Customer care was nice, but slow to act.",2,Service
"Doctor was helpful, but the wait was too long.",2,Service
"Service was okay, could be better in terms of speed.",2,Service
"The claim was processed correctly, but not quickly enough.",2,Service
"App was easy to navigate, but the information was outdated.",2,Service
"The staff tried their best, but couldn't resolve the issue fully.",2,Service
"Wait time was long, but the consultation was helpful.",2,Service
"Claim took longer than expected, but I eventually got the result.",2,Service
"Not the best experience, but not the worst either.",2,Service
"Some parts of the service were excellent, others were lacking.",2,Service
"I liked the app design, though the functionality was limited.",2,Service
"Customer care answered, but didn’t resolve my query.",2,Service
"It was okay overall, but improvements are needed.",2,Service
"The doctor was helpful, but the billing process was confusing.",2,Service
"Received partial support, but it helped a bit.",2,Service
"Communication was slow, though polite.",2,Service
"Response came late, but they followed up afterwards.",2,Service
Mixed feelings about the experience — room for improvement.,2,Service
"Got the help eventually, after a few tries.",2,Service
